task No.,task_name,execution_time,resource_load,earliest_time,latest_time
129,cam_ms.usp_csdc_sec_by_sn_operate_up,1,0.055,217,1439
130,cam_ms.usp_csdc_ssdc_pc_region_si_data_offer_summary,4,0.076,560,1439
131,cam_ms.usp_csdc_ssdc_region_inv_data_offer_summary,8,0.078,414,1439
132,cam_ms.usp_csdc_ssdc_region_pushout_data_offer_summary,3,0.03,151,1439
133,cam_ms.usp_csdc_ssdc_region_sti_data_offer_summary,4,0.063,693,1439
134,cam_ms.usp_csdc_ssdc_sd_region_si_data_offer_summary,2,0.039,650,1439
135,cam_ms.usp_csdc_sti_manual_data,1,0.077,581,1439
136,cam_ms.usp_csdc_stock_adj_cam,1,0.075,612,1439
137,cam_ms.usp_csdc_sync_inv_age_cam,3,0.033,642,1439
138,cam_ms.usp_csdc_sync_inv_age_value_cam,1,0.07,149,1439
139,cam_ms.usp_dim_acnt,1,0.038,593,1439
140,cam_ms.usp_dim_calendar,3,0.065,21,1439
141,cam_ms.usp_dim_isg_prc_calendar,1,0.054,178,1439
142,cam_ms.usp_dim_prc_acnt,3,0.042,357,1439
143,cam_ms.usp_dim_prc_business_unit_hier,3,0.054,265,1439
144,cam_ms.usp_dim_prc_cust_seg_hier,2,0.05,425,1439
145,cam_ms.usp_dim_prc_product,13,0.044,357,1439
146,cam_ms.usp_dim_prc_sales_product_base,4,0.067,532,1439
147,cam_ms.usp_dim_prc_sales_product_div_mapping,2,0.041,196,1439
148,cam_ms.usp_dim_prc_sales_product_hier,2,0.073,733,1439
149,cam_ms.usp_dim_prc_sales_solution_hier,2,0.056,273,1439
150,cam_ms.usp_dim_prc_sales_solution_instance,2,0.076,293,1439
151,cam_ms.usp_dim_prc_sell_through_in_acnt,1,0.058,104,1439
152,cam_ms.usp_exp_fact_isg_prc_pipeline,1,0.059,180,1439
153,cam_ms.usp_fact_daily_lecoo_sell_in,1,0.059,743,1439
154,cam_ms.usp_fact_isg_prc_cust_and_product_seg_loads,2,0.048,711,1439
155,cam_ms.usp_fact_isg_prc_cust_seg_pipeline,2,0.036,288,1439
156,cam_ms.usp_fact_isg_prc_full_data,22,0.032,170,1439
157,cam_ms.usp_fact_isg_prc_full_data_hb_sb,6,0.078,428,1439
158,cam_ms.usp_fact_isg_prc_full_data_holographic,5,0.054,757,1439
159,cam_ms.usp_fact_isg_prc_full_data_jv,3,0.037,606,1439
160,cam_ms.usp_fact_isg_prc_full_data_manual_billing,5,0.074,491,1439
161,cam_ms.usp_fact_isg_prc_full_data_psidc,4,0.059,521,1439
162,cam_ms.usp_fact_isg_prc_full_data_srv,5,0.064,226,1439
163,cam_ms.usp_fact_isg_prc_order_fulfill_with_pipeline,9,0.057,653,1439
164,cam_ms.usp_fact_isg_prc_pipeline,7,0.06,283,1439
165,cam_ms.usp_fact_isg_prc_svc_order_fulfill_with_pipeline,1,0.03,43,1439
166,cam_ms.usp_fact_prc_agg_eff_sales_order,1,0.046,338,1439
167,cam_ms.usp_fact_prc_agg_sell_in,16,0.056,122,1439
168,cam_ms.usp_fact_prc_agg_sell_in_init,9,0.061,690,1439
169,cam_ms.usp_fact_prc_aggregated_sell_through_in,1,0.059,354,1439
170,cam_ms.usp_fact_prc_daily_aging_fgi,3,0.054,277,1439
171,cam_ms.usp_fact_prc_daily_eff_sales_order,3,0.056,281,1439
172,cam_ms.usp_fact_prc_daily_fgi_all,8,0.044,123,1439
173,cam_ms.usp_fact_prc_daily_fgi_wo_order,2,0.059,2,1439
174,cam_ms.usp_fact_prc_daily_sell_in,4,0.037,653,1439
175,cam_ms.usp_fact_prc_daily_sell_in_snapshot,1,0.056,129,1439
176,cam_ms.usp_fact_prc_daily_sell_in_target,2,0.033,599,1439
177,cam_ms.usp_fact_prc_daily_sell_through_in_target,2,0.048,351,1439
178,cam_ms.usp_fact_prc_idg_pc_daily_sell_in,16,0.039,753,1439
179,cam_ms.usp_fact_prc_idg_pc_sd_daily_sell_in,1,0.063,622,1439
180,cam_ms.usp_fact_prc_idg_sd_daily_sell_in,12,0.046,791,1439
181,cam_ms.usp_fact_prc_isg_backlog_snapshot,1,0.058,18,1439
182,cam_ms.usp_fact_prc_isg_daily_sell_in,2,0.045,746,1439
183,cam_ms.usp_fact_prc_isg_daily_sell_in_07,1,0.038,295,1439
184,cam_ms.usp_fact_prc_isg_region_daily_sell_in,1,0.073,796,1439
185,cam_ms.usp_fact_prc_rel_contract_product,1,0.078,475,1439
186,cam_ms.usp_fact_prc_rel_opportunity,3,0.043,149,1439
187,cam_ms.usp_fact_prc_rel_order_detail,2,0.066,36,1439
188,cam_ms.usp_fact_prc_rel_order_plan_detail,2,0.076,736,1439
189,cam_ms.usp_fact_prc_rel_quotation_proj_approval,1,0.071,50,1439
190,cam_ms.usp_fact_prc_rel_quotation_proj_large_order,1,0.062,78,1439
191,cam_ms.usp_fact_prc_rel_quotation_proj_principal_information,6,0.06,525,1439
192,cam_ms.usp_fact_prc_rel_quotation_proj_product_information,21,0.036,553,1439
193,cam_ms.usp_fact_prc_rel_quotation_proj_product_information;,8,0.039,252,1439
194,cam_ms.usp_fact_prc_sell_through_in_adj_on_sell_in,2,0.044,323,1439
195,cam_ms.usp_fact_prc_smb_sti_bypn_jd_qty,2,0.064,709,1439
196,cam_ms.usp_fact_prc_ssdc_pushout_detail,18,0.058,685,1439
197,cam_ms.usp_fact_qtrly_idc_yoy,2,0.031,155,1439
198,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_fcst_trend,1,0.036,585,1439
199,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_overall_fcst,2,0.035,458,1439
200,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_industryline_fcst,2,0.044,482,1439
201,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_region_fcst,1,0.07,542,1439
202,cam_ms.usp_fgi_lecoo_ms_inventory,1,0.032,347,1439
203,cam_ms.usp_rel_pushout_detail_cam,1,0.075,498,1439
204,cam_ms.usp_smb_sync_sn_owner_cam,4,0.079,750,1439
205,cam_ms.usp_ssdc_fgi_cam,3,0.037,216,1439
206,cam_ms.usp_ssdc_inv_data_offer_summary,10,0.058,220,1439
207,cam_ms.usp_ssdc_pushout_data_offer_summary,6,0.048,41,1439
208,cam_ms.usp_ssdc_smb_aged_inv_by_product_no,12,0.074,1,1439
209,cam_ms.usp_ssdc_sti_data_offer_summary,4,0.067,526,1439
210,cam_ms.usp_ssdc_transfer_data_offer_summary,2,0.076,557,1439
211,cam_ms.usp_sti_region_picking_to_bw,10,0.079,178,1439
212,cam_ms_dim_dist_chnl_worldwide_full,3,0.057,674,1439
213,cam_ms_dim_order_rsn_worldwide_full,3,0.05,80,1439
214,cam_ms_dim_product_div_worldwide_full,3,0.055,603,1439
215,cam_ms_dim_sale_office_worldwide_full,2,0.054,580,1439
216,cam_ms_dim_sale_org_worldwide_full,3,0.073,518,1439
217,cam_ms_dim_sale_transaction_ln_catg_worldwide_full,2,0.057,764,1439
218,cam_ms_dim_sale_transaction_type_worldwide_full,3,0.038,216,1439
219,cam_ms_dim_svc_group_worldwide_full,3,0.051,276,1439
220,cam_ms_fact_prc_isg_gp_target_completion_qtrly_snapshot_prc_full,2,0.059,219,1439
221,cam_ms_fact_prc_isg_order_gp_qtrly_snapshot_prc_full,2,0.076,709,1439
222,cam_ms_fact_prc_isg_quotation_proj_gp_qtrly_snapshot_prc_full,2,0.065,407,1439
223,cam_ms_prc_manual_region_sale_actl_prc_full,2,0.054,761,1439
224,cam_prd.usp_dim_portfolio_offering,1,0.035,703,1439
225,cam_prd.usp_exp_fact_product_performance_sum_by_mtm_geo,1,0.057,211,1439
226,cam_prd.usp_fact_product_performance_sum_by_mtm,3,0.074,167,1439
227,cam_prd.usp_fact_product_performance_sum_by_mtm_geo,2,0.045,250,1439
228,cam_prd.usp_fact_product_performance_sum_by_offering,3,0.072,793,1439
229,cam_sc.usp_cpu_dashboard,6,0.066,657,1439
230,cam_sc.usp_fact_idg_seg_performance_loads_data_set,1,0.033,245,1439
231,cam_sc.usp_fact_pcsd_backlog_prc_with_sales_info_am,12,0.078,149,1439
232,cam_sc.usp_fact_pcsd_backlog_with_sales_info_am_01,9,0.058,559,1439
233,cam_sc.usp_fact_pcsd_backlog_with_sales_info_am_02,9,0.064,176,1439
234,cam_sc.usp_fact_po_doc_flow,1,0.07,1,1439
235,cam_sc.usp_fact_po_item_general_info,1,0.046,430,1439
236,cam_sc.usp_fact_so_bom,1,0.044,600,1439
237,cam_srv.usp_con_push_out_detail,1,0.065,14,1439
238,cam_srv.usp_con_sell_out_manual,1,0.036,407,1439
239,cam_srv.usp_fact_svc_prc_con_retail_family_history_record,1,0.055,625,1439
240,cam_srv.usp_fact_svc_prc_con_retail_family_shop_spare_gold,1,0.045,267,1439
241,cam_srv.usp_fact_svc_prc_d365_opportunity,1,0.076,378,1439
242,cam_srv.usp_fact_svc_prc_opportunity,1,0.041,669,1439
243,cam_srv.usp_fact_svc_prc_order_detail,1,0.069,383,1439
244,cam_srv.usp_fact_svc_prc_pm_billing_estimate,1,0.077,282,1439
245,cam_srv.usp_fact_svc_prc_rel_historical_manual_data_for_kab,1,0.074,133,1439
246,cam_srv.usp_fact_svc_prc_rel_historical_manual_data_for_svc,1,0.061,133,1439
247,cam_srv.usp_fact_svc_prc_rel_opportunity,1,0.032,29,1439
248,cam_srv.usp_fact_svc_prc_report_details_part_con_sell_out,1,0.044,506,1439
249,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_omoc,2,0.056,574,1439
250,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_omoc_offsetting,1,0.051,488,1439
251,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_svc,1,0.035,254,1439
252,cam_srv.usp_fact_svc_prc_report_details_part_rel_sellin_svc,1,0.059,140,1439
253,cam_srv.usp_fact_svc_prc_report_details_part_smb_sellin_svc,1,0.054,69,1439
254,cam_srv.usp_fact_svc_prc_report_details_part_smb_stb_detail_bysn,1,0.068,586,1439
255,cam_srv.usp_fact_svc_prc_report_details_part_upsell_booking,1,0.078,57,1439
256,cam_srv.usp_fact_svc_prc_report_details_part_upsell_booking_offsetting,1,0.048,646,1439
257,cam_srv.usp_fact_svc_prc_smb_historical_manual_data,1,0.079,758,1439
258,cam_srv.usp_fact_svc_prc_smb_ms_loading,1,0.05,403,1439
259,cam_srv.usp_fact_svc_prc_smb_so_serial_no,4,0.03,449,1439
260,cam_srv.usp_fact_svc_prc_smb_stockage_report,7,0.065,456,1439
261,cam_srv.usp_fact_svc_prc_target_and_fcst_con,1,0.04,396,1439
262,cam_srv.usp_fact_svc_prc_target_and_fcst_rel,1,0.079,463,1439
263,cam_srv.usp_fact_svc_prc_target_and_fcst_rel_kab,1,0.061,172,1439
264,cam_srv.usp_fact_svc_prc_target_and_fcst_smb,1,0.06,506,1439
265,cam_srv.usp_fact_svc_prc_ttl_gaap,1,0.062,539,1439
266,cam_srv.usp_fact_svc_report_details_con_handwork,1,0.066,199,1439
267,cam_srv.usp_fact_svc_report_details_con_sellin_lecoo_ms,1,0.039,51,1439
268,cam_srv.usp_fact_svc_report_details_con_sellin_ms,1,0.076,107,1439
269,cam_srv.usp_fact_svc_report_details_rel_handwork,1,0.037,784,1439
270,cam_srv.usp_fact_svc_report_details_rel_sellin_ms,6,0.063,696,1439
271,cam_srv.usp_fact_svc_report_details_smb_handwork,1,0.037,400,1439
272,cam_srv.usp_fact_svc_report_details_smb_sellin_lecoo_ms,1,0.046,473,1439
273,cam_srv.usp_fact_svc_report_details_smb_sellin_ms,1,0.074,703,1439
274,cam_srv.usp_sell_out_jd_ka,1,0.053,435,1439
275,cam_srv.usp_sell_out_sda_store_posa,1,0.069,163,1439
276,cam_srv.usp_sell_out_sda_store_svc_other,1,0.06,752,1439
277,cam_srv.usp_smb_svc_sda_main_detail,1,0.055,464,1439
278,cam_srv.usp_smb_svc_sda_sunny_detail,2,0.064,671,1439
279,cam_srv_ww.usp_dim_svc_fiscal_dt_flg,1,0.056,324,1439
280,cam_srv_ww.usp_fact_svc_booking_simulation_report,9,0.049,637,1439
281,cam_srv_ww.usp_fact_svc_booking_simulation_report_recon,8,0.058,38,1439
282,cam_srv_ww.usp_fact_svc_case_fix_on_phone,1,0.043,391,1439
283,cam_srv_ww.usp_fact_svc_subs_active_lease_report,2,0.047,647,1439
284,cam_srv_ww.usp_fact_svc_subs_billing,1,0.03,447,1439
285,cam_srv_ww.usp_fact_svc_subs_contract,2,0.044,530,1439
286,dwc_ext.usp_ap_pc_tracker_split_hist,2,0.062,90,1439
287,dwc_ext.usp_ap_pcd_tracker_pc_model_channel_hist,2,0.046,23,1439
288,dwc_ext.usp_ap_pcd_tracker_pc_model_segment_hist,2,0.06,506,1439
289,dwc_ext.usp_cn_ess_tracker_province_hist,2,0.057,270,1439
290,dwc_ext.usp_cn_ess_tracker_sds_hci_hist,2,0.032,124,1439
291,dwc_ext.usp_cn_pc_tracker_industry_mkt_fcst,2,0.077,150,1439
292,dwc_ext.usp_cn_pc_tracker_province_fcst,2,0.05,389,1439
293,dwc_ext.usp_cn_pc_tracker_province_hist,2,0.079,91,1439
294,dwc_ext.usp_cn_pc_tracker_sales_out_addons_hist,2,0.06,718,1439
295,dwc_ext.usp_cn_pc_tracker_sales_out_addons_province_model_hist,3,0.038,201,1439
296,dwc_ext.usp_cn_pc_tracker_sales_out_hist,2,0.033,337,1439
297,dwc_ext.usp_cn_pc_tracker_vertical_mkt_hist,2,0.079,774,1439
298,dwc_ext.usp_cn_pcd_tracker_tablet_industry_mkt_hist,2,0.057,289,1439
299,dwc_ext.usp_cn_smart_home_tracker_hist,2,0.05,695,1439
300,dwc_ext.usp_cn_svr_accelerator_hist,2,0.074,491,1439
301,dwc_ext.usp_cn_svr_edge_hist,2,0.043,569,1439
302,dwc_ext.usp_cn_svr_industry_hist,2,0.033,349,1439
303,dwc_ext.usp_cn_svr_tracker_province_idc_vertical_fcst,2,0.066,12,1439
304,dwc_ext.usp_cn_svr_tracker_province_lenovo_vertical_fcst,2,0.071,414,1439
305,dwc_ext.usp_cn_svr_tracker_province_lenovo_vertical_hist,2,0.072,773,1439
306,dwc_ext.usp_cn_svr_tracker_province_segment_lenovo_hist,2,0.046,268,1439
307,dwc_ext.usp_cn_tablet_vertical_mkt_fcst,2,0.077,798,1439
308,dwc_ext.usp_cn_wearable_channel_fcst,2,0.06,505,1439
309,dwc_ext.usp_cn_wearable_channel_hist,2,0.045,44,1439
310,dwc_ext.usp_cn_wearable_fcst,2,0.061,308,1439
311,dwc_ext.usp_cn_wearable_hist,2,0.054,624,1439
312,dwc_ext.usp_cn_wearable_segment_fcst,2,0.069,97,1439
313,dwc_ext.usp_cn_wearable_segment_hist,2,0.048,719,1439
314,dwc_ext.usp_la_infra_tracker_server_industry_hist,2,0.04,416,1439
315,dwc_ext.usp_la_infra_tracker_server_segment_hist,2,0.043,104,1439
316,dwc_ext.usp_us_pc_tracker_public_sector_fcst,2,0.049,514,1439
317,dwc_ext.usp_us_pc_tracker_public_sector_hist,2,0.06,787,1439
318,dwc_ext.usp_ww_ag_vr_headset_tracker_channel_fcst,2,0.048,75,1439
319,dwc_ext.usp_ww_ag_vr_headset_tracker_channel_hist,2,0.049,481,1439
320,dwc_ext.usp_ww_ag_vr_headset_tracker_segment_fcst,2,0.076,345,1439
321,dwc_ext.usp_ww_ag_vr_headset_tracker_segment_hist,2,0.047,375,1439
322,dwc_ext.usp_ww_black_book_le_fcst,2,0.071,266,1439
323,dwc_ext.usp_ww_ent_client_device_tracker_channel_fcst,2,0.078,88,1439
324,dwc_ext.usp_ww_ent_client_device_tracker_os_fcst,2,0.054,756,1439
325,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_company_size_hist,2,0.055,441,1439
326,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_deployment_env_hist,2,0.078,67,1439
327,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_fcst,2,0.061,574,1439
328,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_hist,2,0.037,725,1439
329,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_infra_type_hist,2,0.074,264,1439
330,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_scalability_hist,2,0.07,295,1439
331,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_vertical_hist,2,0.034,28,1439
332,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_virtualization_mthd_hist,2,0.032,758,1439
333,dwc_ext.usp_ww_gaming_tracker_monitor_channel_hist,2,0.074,644,1439
334,dwc_ext.usp_ww_gaming_tracker_monitor_fcst,2,0.074,652,1439
335,dwc_ext.usp_ww_gaming_tracker_monitor_segment_hist,3,0.043,214,1439
336,dwc_ext.usp_ww_gaming_tracker_pc_channel_hist,3,0.052,578,1439
337,dwc_ext.usp_ww_gaming_tracker_pc_fcst,2,0.03,110,1439
338,dwc_ext.usp_ww_gaming_tracker_pc_segment_hist,2,0.048,798,1439
339,dwc_ext.usp_ww_hc_peripherals_tracker_fcst,2,0.037,333,1439
340,dwc_ext.usp_ww_hc_peripherals_tracker_hist,2,0.031,60,1439
341,dwc_ext.usp_ww_ict_spending_guide_industry_cmpy_size_fcst,2,0.076,520,1439
