task No.,task_name,earliest_time,latest_time
173,cam_ms.usp_fact_prc_daily_fgi_wo_order,2,1439
174,cam_ms.usp_fact_prc_daily_sell_in,653,1439
175,cam_ms.usp_fact_prc_daily_sell_in_snapshot,129,1439
176,cam_ms.usp_fact_prc_daily_sell_in_target,599,1439
177,cam_ms.usp_fact_prc_daily_sell_through_in_target,351,1439
178,cam_ms.usp_fact_prc_idg_pc_daily_sell_in,753,1439
179,cam_ms.usp_fact_prc_idg_pc_sd_daily_sell_in,622,1439
180,cam_ms.usp_fact_prc_idg_sd_daily_sell_in,791,1439
181,cam_ms.usp_fact_prc_isg_backlog_snapshot,18,1439
182,cam_ms.usp_fact_prc_isg_daily_sell_in,746,1439
183,cam_ms.usp_fact_prc_isg_daily_sell_in_07,295,1439
184,cam_ms.usp_fact_prc_isg_region_daily_sell_in,796,1439
185,cam_ms.usp_fact_prc_rel_contract_product,475,1439
186,cam_ms.usp_fact_prc_rel_opportunity,149,1439
187,cam_ms.usp_fact_prc_rel_order_detail,36,1439
188,cam_ms.usp_fact_prc_rel_order_plan_detail,736,1439
189,cam_ms.usp_fact_prc_rel_quotation_proj_approval,50,1439
190,cam_ms.usp_fact_prc_rel_quotation_proj_large_order,78,1439
191,cam_ms.usp_fact_prc_rel_quotation_proj_principal_information,525,1439
192,cam_ms.usp_fact_prc_rel_quotation_proj_product_information,553,1439
193,cam_ms.usp_fact_prc_rel_quotation_proj_product_information;,252,1439
194,cam_ms.usp_fact_prc_sell_through_in_adj_on_sell_in,323,1439
195,cam_ms.usp_fact_prc_smb_sti_bypn_jd_qty,709,1439
196,cam_ms.usp_fact_prc_ssdc_pushout_detail,685,1439
197,cam_ms.usp_fact_qtrly_idc_yoy,155,1439
198,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_fcst_trend,585,1439
199,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_overall_fcst,458,1439
200,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_industryline_fcst,482,1439
201,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_region_fcst,542,1439
202,cam_ms.usp_fgi_lecoo_ms_inventory,347,1439
203,cam_ms.usp_rel_pushout_detail_cam,498,1439
204,cam_ms.usp_smb_sync_sn_owner_cam,750,1439
205,cam_ms.usp_ssdc_fgi_cam,216,1439
206,cam_ms.usp_ssdc_inv_data_offer_summary,220,1439
207,cam_ms.usp_ssdc_pushout_data_offer_summary,41,1439
208,cam_ms.usp_ssdc_smb_aged_inv_by_product_no,1,1439
209,cam_ms.usp_ssdc_sti_data_offer_summary,526,1439
210,cam_ms.usp_ssdc_transfer_data_offer_summary,557,1439
211,cam_ms.usp_sti_region_picking_to_bw,178,1439
212,cam_ms_dim_dist_chnl_worldwide_full,674,1439
213,cam_ms_dim_order_rsn_worldwide_full,80,1439
214,cam_ms_dim_product_div_worldwide_full,603,1439
215,cam_ms_dim_sale_office_worldwide_full,580,1439
216,cam_ms_dim_sale_org_worldwide_full,518,1439
217,cam_ms_dim_sale_transaction_ln_catg_worldwide_full,764,1439
218,cam_ms_dim_sale_transaction_type_worldwide_full,216,1439
219,cam_ms_dim_svc_group_worldwide_full,276,1439
220,cam_ms_fact_prc_isg_gp_target_completion_qtrly_snapshot_prc_full,219,1439
221,cam_ms_fact_prc_isg_order_gp_qtrly_snapshot_prc_full,709,1439
222,cam_ms_fact_prc_isg_quotation_proj_gp_qtrly_snapshot_prc_full,407,1439
223,cam_ms_prc_manual_region_sale_actl_prc_full,761,1439
224,cam_prd.usp_dim_portfolio_offering,703,1439
225,cam_prd.usp_exp_fact_product_performance_sum_by_mtm_geo,211,1439
226,cam_prd.usp_fact_product_performance_sum_by_mtm,167,1439
227,cam_prd.usp_fact_product_performance_sum_by_mtm_geo,250,1439
228,cam_prd.usp_fact_product_performance_sum_by_offering,793,1439
229,cam_sc.usp_cpu_dashboard,657,1439
230,cam_sc.usp_fact_idg_seg_performance_loads_data_set,245,1439
231,cam_sc.usp_fact_pcsd_backlog_prc_with_sales_info_am,149,1439
232,cam_sc.usp_fact_pcsd_backlog_with_sales_info_am_01,559,1439
233,cam_sc.usp_fact_pcsd_backlog_with_sales_info_am_02,176,1439
234,cam_sc.usp_fact_po_doc_flow,1,1439
235,cam_sc.usp_fact_po_item_general_info,430,1439
236,cam_sc.usp_fact_so_bom,600,1439
237,cam_srv.usp_con_push_out_detail,14,1439
238,cam_srv.usp_con_sell_out_manual,407,1439
239,cam_srv.usp_fact_svc_prc_con_retail_family_history_record,625,1439
240,cam_srv.usp_fact_svc_prc_con_retail_family_shop_spare_gold,267,1439
241,cam_srv.usp_fact_svc_prc_d365_opportunity,378,1439
242,cam_srv.usp_fact_svc_prc_opportunity,669,1439
243,cam_srv.usp_fact_svc_prc_order_detail,383,1439
244,cam_srv.usp_fact_svc_prc_pm_billing_estimate,282,1439
245,cam_srv.usp_fact_svc_prc_rel_historical_manual_data_for_kab,133,1439
246,cam_srv.usp_fact_svc_prc_rel_historical_manual_data_for_svc,133,1439
247,cam_srv.usp_fact_svc_prc_rel_opportunity,29,1439
248,cam_srv.usp_fact_svc_prc_report_details_part_con_sell_out,506,1439
249,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_omoc,574,1439
250,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_omoc_offsetting,488,1439
251,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_svc,254,1439
252,cam_srv.usp_fact_svc_prc_report_details_part_rel_sellin_svc,140,1439
253,cam_srv.usp_fact_svc_prc_report_details_part_smb_sellin_svc,69,1439
254,cam_srv.usp_fact_svc_prc_report_details_part_smb_stb_detail_bysn,586,1439
255,cam_srv.usp_fact_svc_prc_report_details_part_upsell_booking,57,1439
256,cam_srv.usp_fact_svc_prc_report_details_part_upsell_booking_offsetting,646,1439
257,cam_srv.usp_fact_svc_prc_smb_historical_manual_data,758,1439
258,cam_srv.usp_fact_svc_prc_smb_ms_loading,403,1439
259,cam_srv.usp_fact_svc_prc_smb_so_serial_no,449,1439
260,cam_srv.usp_fact_svc_prc_smb_stockage_report,456,1439
261,cam_srv.usp_fact_svc_prc_target_and_fcst_con,396,1439
262,cam_srv.usp_fact_svc_prc_target_and_fcst_rel,463,1439
263,cam_srv.usp_fact_svc_prc_target_and_fcst_rel_kab,172,1439
264,cam_srv.usp_fact_svc_prc_target_and_fcst_smb,506,1439
265,cam_srv.usp_fact_svc_prc_ttl_gaap,539,1439
266,cam_srv.usp_fact_svc_report_details_con_handwork,199,1439
267,cam_srv.usp_fact_svc_report_details_con_sellin_lecoo_ms,51,1439
268,cam_srv.usp_fact_svc_report_details_con_sellin_ms,107,1439
269,cam_srv.usp_fact_svc_report_details_rel_handwork,784,1439
270,cam_srv.usp_fact_svc_report_details_rel_sellin_ms,696,1439
271,cam_srv.usp_fact_svc_report_details_smb_handwork,400,1439
272,cam_srv.usp_fact_svc_report_details_smb_sellin_lecoo_ms,473,1439
273,cam_srv.usp_fact_svc_report_details_smb_sellin_ms,703,1439
274,cam_srv.usp_sell_out_jd_ka,435,1439
275,cam_srv.usp_sell_out_sda_store_posa,163,1439
276,cam_srv.usp_sell_out_sda_store_svc_other,752,1439
277,cam_srv.usp_smb_svc_sda_main_detail,464,1439
278,cam_srv.usp_smb_svc_sda_sunny_detail,671,1439
279,cam_srv_ww.usp_dim_svc_fiscal_dt_flg,324,1439
280,cam_srv_ww.usp_fact_svc_booking_simulation_report,637,1439
281,cam_srv_ww.usp_fact_svc_booking_simulation_report_recon,38,1439
282,cam_srv_ww.usp_fact_svc_case_fix_on_phone,391,1439
283,cam_srv_ww.usp_fact_svc_subs_active_lease_report,647,1439
284,cam_srv_ww.usp_fact_svc_subs_billing,447,1439
285,cam_srv_ww.usp_fact_svc_subs_contract,530,1439
286,dwc_ext.usp_ap_pc_tracker_split_hist,90,1439
287,dwc_ext.usp_ap_pcd_tracker_pc_model_channel_hist,23,1439
288,dwc_ext.usp_ap_pcd_tracker_pc_model_segment_hist,506,1439
289,dwc_ext.usp_cn_ess_tracker_province_hist,270,1439
290,dwc_ext.usp_cn_ess_tracker_sds_hci_hist,124,1439
291,dwc_ext.usp_cn_pc_tracker_industry_mkt_fcst,150,1439
292,dwc_ext.usp_cn_pc_tracker_province_fcst,389,1439
293,dwc_ext.usp_cn_pc_tracker_province_hist,91,1439
294,dwc_ext.usp_cn_pc_tracker_sales_out_addons_hist,718,1439
295,dwc_ext.usp_cn_pc_tracker_sales_out_addons_province_model_hist,201,1439
296,dwc_ext.usp_cn_pc_tracker_sales_out_hist,337,1439
297,dwc_ext.usp_cn_pc_tracker_vertical_mkt_hist,774,1439
298,dwc_ext.usp_cn_pcd_tracker_tablet_industry_mkt_hist,289,1439
299,dwc_ext.usp_cn_smart_home_tracker_hist,695,1439
300,dwc_ext.usp_cn_svr_accelerator_hist,491,1439
301,dwc_ext.usp_cn_svr_edge_hist,569,1439
302,dwc_ext.usp_cn_svr_industry_hist,349,1439
303,dwc_ext.usp_cn_svr_tracker_province_idc_vertical_fcst,12,1439
304,dwc_ext.usp_cn_svr_tracker_province_lenovo_vertical_fcst,414,1439
305,dwc_ext.usp_cn_svr_tracker_province_lenovo_vertical_hist,773,1439
306,dwc_ext.usp_cn_svr_tracker_province_segment_lenovo_hist,268,1439
307,dwc_ext.usp_cn_tablet_vertical_mkt_fcst,798,1439
308,dwc_ext.usp_cn_wearable_channel_fcst,505,1439
309,dwc_ext.usp_cn_wearable_channel_hist,44,1439
310,dwc_ext.usp_cn_wearable_fcst,308,1439
311,dwc_ext.usp_cn_wearable_hist,624,1439
312,dwc_ext.usp_cn_wearable_segment_fcst,97,1439
313,dwc_ext.usp_cn_wearable_segment_hist,719,1439
314,dwc_ext.usp_la_infra_tracker_server_industry_hist,416,1439
315,dwc_ext.usp_la_infra_tracker_server_segment_hist,104,1439
316,dwc_ext.usp_us_pc_tracker_public_sector_fcst,514,1439
317,dwc_ext.usp_us_pc_tracker_public_sector_hist,787,1439
318,dwc_ext.usp_ww_ag_vr_headset_tracker_channel_fcst,75,1439
319,dwc_ext.usp_ww_ag_vr_headset_tracker_channel_hist,481,1439
320,dwc_ext.usp_ww_ag_vr_headset_tracker_segment_fcst,345,1439
321,dwc_ext.usp_ww_ag_vr_headset_tracker_segment_hist,375,1439
322,dwc_ext.usp_ww_black_book_le_fcst,266,1439
323,dwc_ext.usp_ww_ent_client_device_tracker_channel_fcst,88,1439
324,dwc_ext.usp_ww_ent_client_device_tracker_os_fcst,756,1439
325,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_company_size_hist,441,1439
326,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_deployment_env_hist,67,1439
327,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_fcst,574,1439
328,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_hist,725,1439
329,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_infra_type_hist,264,1439
330,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_scalability_hist,295,1439
331,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_vertical_hist,28,1439
332,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_virtualization_mthd_hist,758,1439
333,dwc_ext.usp_ww_gaming_tracker_monitor_channel_hist,644,1439
334,dwc_ext.usp_ww_gaming_tracker_monitor_fcst,652,1439
335,dwc_ext.usp_ww_gaming_tracker_monitor_segment_hist,214,1439
336,dwc_ext.usp_ww_gaming_tracker_pc_channel_hist,578,1439
337,dwc_ext.usp_ww_gaming_tracker_pc_fcst,110,1439
338,dwc_ext.usp_ww_gaming_tracker_pc_segment_hist,798,1439
339,dwc_ext.usp_ww_hc_peripherals_tracker_fcst,333,1439
340,dwc_ext.usp_ww_hc_peripherals_tracker_hist,60,1439
341,dwc_ext.usp_ww_ict_spending_guide_industry_cmpy_size_fcst,520,1439
342,dwc_ext.usp_ww_infa_tracker_ess_fcst,737,1439
343,dwc_ext.usp_ww_infa_tracker_ess_org_hist,682,1439
344,dwc_ext.usp_ww_infa_tracker_ess_product_category_hist,300,1439
345,dwc_ext.usp_ww_infa_tracker_server_fcst,58,1439
346,dwc_ext.usp_ww_infa_tracker_server_hist,365,1439
347,dwc_ext.usp_ww_infa_tracker_server_x86_channel_fcst,324,1439
348,dwc_ext.usp_ww_infa_tracker_server_x86_channel_hist,716,1439
349,dwc_ext.usp_ww_infa_tracker_server_x86_segment_fcst,607,1439
350,dwc_ext.usp_ww_infa_tracker_server_x86_segment_hist,43,1439
351,dwc_ext.usp_ww_infra_tracker_buyer_cloud_deploy_fcst,245,1439
352,dwc_ext.usp_ww_infra_tracker_buyer_cloud_deploy_hist,620,1439
353,dwc_ext.usp_ww_infra_tracker_client_device_channel_hist,258,1439
354,dwc_ext.usp_ww_infra_tracker_client_device_segment_hist,365,1439
355,dwc_ext.usp_ww_infra_tracker_converged_component_hist,244,1439
356,dwc_ext.usp_ww_infra_tracker_converged_fcst,66,1439
357,dwc_ext.usp_ww_infra_tracker_converged_hist,282,1439
358,dwc_ext.usp_ww_infra_tracker_ent_infra_hist,345,1439
359,dwc_ext.usp_ww_iot_spending_guide_fcst,125,1439
360,dwc_ext.usp_ww_odm_tracker_storage_hist,440,1439
361,dwc_ext.usp_ww_odm_tracker_svr_hist,492,1439
362,dwc_ext.usp_ww_pc_monitor_tracker_bundling_hist,316,1439
363,dwc_ext.usp_ww_pc_monitor_tracker_channel_hist,768,1439
364,dwc_ext.usp_ww_pc_monitor_tracker_fcst,537,1439
365,dwc_ext.usp_ww_pc_monitor_tracker_interface_hist,51,1439
366,dwc_ext.usp_ww_pc_monitor_tracker_prelim_hist,559,1439
367,dwc_ext.usp_ww_pc_monitor_tracker_segment_fcst,438,1439
368,dwc_ext.usp_ww_pc_monitor_tracker_segment_hist,476,1439
369,dwc_ext.usp_ww_pc_tracker_channel_fcst,510,1439
370,dwc_ext.usp_ww_pc_tracker_install_base_fcst,549,1439
371,dwc_ext.usp_ww_pc_tracker_os_fcst,73,1439
372,dwc_ext.usp_ww_pc_tracker_os_version_hist,396,1439
373,dwc_ext.usp_ww_pc_tracker_period_channel_fcst,363,1439
374,dwc_ext.usp_ww_pc_tracker_period_segment_fcst,327,1439
375,dwc_ext.usp_ww_pc_tracker_price_band_units_fcst,678,1439
376,dwc_ext.usp_ww_pc_tracker_price_band_value_fcst,451,1439
377,dwc_ext.usp_ww_pc_tracker_segbycha_fcst,511,1439
378,dwc_ext.usp_ww_pc_tracker_segment_fcst,460,1439
379,dwc_ext.usp_ww_pcd_tracker_channel_hist,416,1439
380,dwc_ext.usp_ww_pcd_tracker_os_channel_hist,716,1439
381,dwc_ext.usp_ww_pcd_tracker_os_segment_hist,610,1439
382,dwc_ext.usp_ww_pcd_tracker_prelim_hist,161,1439
383,dwc_ext.usp_ww_pcd_tracker_productdetail_channel_hist,163,1439
384,dwc_ext.usp_ww_pcd_tracker_productdetail_segment_hist,31,1439
385,dwc_ext.usp_ww_pcd_tracker_segbycha_hist,295,1439
386,dwc_ext.usp_ww_pcd_tracker_segment_hist,590,1439
387,dwc_ext.usp_ww_pcd_tracker_workstation_application_group_fcst,146,1439
388,dwc_ext.usp_ww_pcd_tracker_workstation_application_hist,789,1439
389,dwc_ext.usp_ww_pcd_tracker_workstation_channel_hist,412,1439
390,dwc_ext.usp_ww_pcd_tracker_workstation_countryaddon_fcst,744,1439
391,dwc_ext.usp_ww_pcd_tracker_workstation_fcst,461,1439
392,dwc_ext.usp_ww_pcd_tracker_workstation_model_hist,786,1439
393,dwc_ext.usp_ww_pcd_tracker_workstation_os_fcst,330,1439
394,dwc_ext.usp_ww_pcd_tracker_workstation_os_hist,149,1439
395,dwc_ext.usp_ww_pcd_tracker_workstation_segment_hist,148,1439
396,dwc_ext.usp_ww_phone_tracker_channel_hist,540,1439
397,dwc_ext.usp_ww_phone_tracker_fcst,536,1439
398,dwc_ext.usp_ww_phone_tracker_model_hist,616,1439
